message,signature,duration
5608,458,90604000
8086,7601,97161000
7578,9401,91119000
7793,4512,82966000
4036,5209,67141000
936,1920,89876000
9903,1063,92477000
9788,1944,71602000
5160,3441,87674000
5330,3679,102824000
4481,9455,84463000
9914,1780,84360000
7818,3769,78840000
3437,1037,82512000
947,204,91180000
726,8697,82839000
1210,795,61744000
2638,5866,77988000
4292,7717,73960000
7715,4490,88795000
3132,9170,85280000
8381,8453,85012000
2934,345,61294000
9566,7510,66018000
3704,2646,60101000
8910,9661,80421000
6501,4528,89600000
6303,5560,65824000
3313,4673,75033000
3638,1286,67833000
9341,2560,78836000
9086,8622,95647000
9040,7612,61939000
514,5664,70764000
1103,1782,78818000
5963,8846,84689000
4374,5331,91807000
9655,9922,65696000
850,1368,86297000
8776,4675,80024000
3150,1571,61821000
39,3797,65029000
9789,3019,83892000
3458,9195,72768000
2560,7692,80556000
3928,1624,60649000
2305,398,76497000
1075,1734,87383000
980,8513,69535000
323,2242,83205000
5707,8552,97617000
419,5139,54465000
8515,9674,67256000
9229,9254,73264000
1397,4961,83979000
7067,6072,76006000
7391,1889,70793000
2952,6469,97770000
5681,612,62800000
3146,1910,81992000
5487,9536,84851000
2197,6188,76844000
1171,3303,74735000
2658,208,104400000
990,5660,66558000
1550,3135,77253000
3857,9419,67743000
3866,5587,63507000
9394,4057,83155000
2360,2921,75998000
1377,5672,65503000
1556,4647,63073000
3777,6893,89283000
366,7782,58047000
2733,6514,98095000
1617,3578,80951000
9082,7045,77319000
6244,3722,70778000
3750,7419,77157000
3998,9726,78530000
3837,8269,62408000
5018,3859,89417000
4077,335,75896000
3268,1691,72718000
11,7016,61536000
6540,5686,83197000
1226,8404,66470000
2399,3471,74313000
9370,4545,69235000
7457,3209,81797000
4519,6583,78175000
4722,6598,88715000
946,6445,80366000
2699,761,71116000
853,6853,96636000
7870,8964,77926000
6550,6383,69022000
6423,3421,82238000
7182,5811,82642000
6441,8162,72405000
141,6599,59648000
6284,4533,92909000
1495,9131,74787000
9062,157,89624000
4854,9691,74519000
435,64,67991000
1106,3021,82184000
2102,3093,54712000
504,4314,71009000
3915,3915,59956000
8667,1475,78087000
3433,5364,81866000
1619,9936,93199000
981,7501,92659000
1435,4234,79191000
2223,3116,66093000
8473,893,59410000
6540,5686,77323000
7917,1981,89656000
1523,2193,75892000
8345,8289,60724000
1290,7604,55440000
4403,4297,79796000
9787,2933,83413000
2214,9394,93839000
6,8530,99675000
2574,2162,68683000
623,5298,81690000
7156,3417,90227000
244,7114,65210000
1682,729,54033000
7189,1196,61983000
403,3024,76079000
5282,5823,70615000
2849,7602,73274000
1610,1538,77772000
7571,3790,97956000
5888,5394,84426000
2364,6341,85798000
2505,7260,85953000
7274,4752,75959000
1280,7903,50501000
989,7709,77567000
4209,1775,79845000
3893,7994,62965000
1981,7529,90861000
402,6344,52999000
6769,2108,73010000
8674,1515,66448000
9390,8587,60387000
1829,2095,54084000
706,5838,73548000
9930,5565,98741000
9851,4098,99095000
56,1395,87672000
5937,7600,82403000
1144,5883,71052000
241,7436,71071000
5746,6004,70600000
882,4652,87074000
198,6878,81471000
3596,2818,89834000
3663,1562,69606000
7741,5968,75398000
1767,7204,77792000
369,8781,82505000
8706,9355,87151000
3844,1904,90405000
2588,1554,77350000
6766,4311,86279000
6569,4056,73322000
3766,2798,67525000
2336,7263,92661000
905,1369,77679000
8953,9350,80546000
5491,2590,85367000
8062,6240,65210000
9041,8279,63972000
2575,4944,76025000
9547,6268,69062000
6852,8016,74022000
5003,5178,73185000
2646,5547,71999000
7315,9422,75391000
4626,1788,76052000
864,1653,81651000
6052,9923,76496000
5718,2127,74519000
9686,7139,78283000
9535,3530,71547000
3716,7233,77918000
1795,2547,99608000
7760,3007,79639000
9781,792,63151000
7813,482,66669000
5928,1293,95064000
4821,5976,95243000
606,7523,84559000
9874,5689,66565000
2604,8810,59982000
9106,1754,80040000
2877,629,87337000
8012,2605,89320000
4677,2063,80856000
1378,810,99241000
6551,7400,104575000
7233,6141,76629000
570,8059,74470000
4004,5450,78286000
9056,4303,103006000
5292,7299,56666000
721,9476,75373000
6690,8298,93365000
8143,187,82365000
9044,9787,57591000
3170,1069,72692000
8199,4928,62454000
274,1731,78572000
9627,9657,79064000
2577,1388,90701000
2564,9670,61175000
4506,7181,76325000
552,7026,90689000
1123,9640,81188000
4765,7073,62067000
9765,1444,72304000
2784,1223,73007000
7366,685,70433000
2254,3094,72357000
6220,1447,73124000
5837,2052,90236000
6873,5296,81818000
9008,3549,65871000
9216,8052,75130000
3848,4451,72121000
7437,4160,79662000
2704,4664,70120000
4666,2499,108131000
481,1949,95296000
7534,2608,85172000
3532,7385,62262000
6177,8150,81740000
3770,9563,79015000
6642,8070,85567000
5901,2441,82529000
3569,257,82663000
3871,6309,81254000
8107,134,69877000
9495,162,80692000
1122,709,79950000
309,5459,83648000
6445,5796,64795000
5729,3001,80839000
472,8884,71415000
5120,4048,52863000
6324,531,76516000
7456,4228,94508000
2705,6661,98507000
9541,714,66136000
7861,7363,76234000
443,5074,87257000
467,5793,92688000
909,2946,69704000
4705,6233,67234000
2859,6421,60428000
2534,6782,54152000
2200,3009,71868000
1619,9936,91919000
1079,2902,66843000
13,8867,67952000
6719,1864,63083000
9201,7527,73147000
8605,8193,77536000
5349,3822,87444000
5462,7815,58028000
9098,9278,67870000
4712,1104,75152000
2302,464,85696000
7235,3673,75191000
987,8163,77849000
8699,4270,85890000
7435,368,74038000
8459,8764,71360000
130,1408,71623000
3046,3118,63981000
9474,7264,61345000
4902,8855,83100000
5663,6749,79784000
6754,5590,84092000
8385,4535,67701000
13,8867,67622000
361,5026,75648000
595,8382,73905000
4425,9547,79880000
785,9696,65111000
1773,794,89270000
8428,5109,85895000
6747,5747,70131000
8820,6688,100079000
2776,8092,64575000
1168,7848,86058000
5024,451,82299000
2152,5653,85552000
4225,1285,66826000
7033,9531,78823000
4494,302,70819000
1712,6091,75267000
1189,1601,100332000
6995,8277,85981000
9601,9343,56534000
2395,8578,74016000
3122,221,71233000
5166,9264,54943000
338,5205,67927000
4577,7399,96653000
2244,3532,100083000
8996,3831,63757000
4602,7057,73771000
5164,6877,77558000
730,272,74648000
3703,985,82907000
6841,8420,75604000
9854,8232,81625000
1245,2538,93940000
2343,4091,78166000
3691,5730,78802000
8474,1296,83222000
8883,1201,68001000
5948,5430,79040000
3308,1335,64576000
7069,5246,61417000
845,1791,75055000
8550,7314,88227000
287,4665,71894000
7167,5691,85702000
920,2586,80556000
6873,5296,81152000
1744,7015,90634000
2060,6489,86947000
82,2020,64371000
1462,8444,83103000
9229,9254,80356000
1877,2639,62790000
5637,8180,85136000
4711,6626,72570000
8491,5751,68336000
9681,4222,93938000
6460,2314,77317000
8036,8907,73053000
7574,1055,84922000
6695,1133,80553000
9026,6894,84931000
8082,2035,90654000
9323,7792,68591000
928,2164,77014000
849,1304,57210000
274,1731,73388000
8123,436,99731000
7255,8017,72253000
9234,8291,80740000
5192,6286,51926000
6238,7330,65770000
379,877,73794000
7458,7728,71857000
6743,4301,80417000
2840,6517,81649000
7124,2304,58984000
6558,4627,72267000
8797,5668,87203000
9012,8055,75068000
1232,9856,80156000
2043,7172,69910000
7821,7530,68039000
3907,8457,98766000
6527,5775,68957000
7733,7645,109853000
1768,8999,62404000
7959,7476,65704000
2838,3250,85517000
9657,8172,67907000
9700,7663,79361000
7435,368,72850000
9257,4626,75749000
9232,3701,64480000
3830,1810,75923000
7152,6575,67481000
5518,8989,90364000
9656,7078,75630000
3435,4378,85491000
4081,4855,73864000
7825,9592,62893000
9261,9719,93589000
8467,246,84258000
2734,7884,68143000
6225,7193,60905000
5979,2002,73963000
2960,1682,55619000
1040,9003,78797000
4846,9418,91421000
2904,6796,56025000
6150,8065,69481000
6718,4802,78263000
4134,2757,70561000
9444,7504,79608000
8804,3211,74759000
1106,3021,82218000
1762,6192,69722000
5362,8942,69508000
716,3354,59182000
1296,5176,62440000
2813,4753,78046000
4984,5876,74060000
1781,1102,86077000
7068,9078,79641000
5870,3913,59176000
1182,5168,67212000
3627,2648,83405000
6867,2876,69359000
6186,2350,63840000
8352,6864,86860000
5491,2590,76474000
8459,8764,66643000
1799,3683,70009000
1298,1220,68395000
4,7654,73180000
8009,8275,71442000
9059,7886,70665000
699,3429,70132000
7050,2621,62579000
2477,8079,95792000
7281,5135,79948000
3667,9460,95022000
489,6975,84969000
4471,1548,85464000
3928,1624,76264000
9180,2584,71106000
3790,5728,65671000
9663,4988,69344000
4187,566,65663000
2804,9025,75181000
1446,6212,62324000
9582,1429,66099000
7045,5784,79347000
6615,9746,90439000
5466,8847,71606000
4082,8233,84328000
6530,9698,68410000
6864,7188,73528000
5125,1374,82015000
8713,9782,78021000
4078,9885,56196000
6159,5213,67742000
4146,8681,78064000
3543,7741,67769000
4400,1490,65878000
5800,839,70036000
7480,323,54606000
3886,867,68313000
8910,9661,87415000
1966,4289,83528000
9201,7527,79684000
4267,5431,77086000
5545,3670,56874000
7434,5397,62727000
2619,3783,74989000
4630,367,62868000
9564,8619,95317000
7081,2134,84035000
1207,8803,79846000
3667,9460,93412000
7958,8721,57067000
7293,8757,74057000
5850,3256,86132000
1748,2588,91866000
2990,3283,64393000
794,6623,67279000
7365,3584,70390000
8233,4955,63298000
842,4367,68453000
1579,3510,86365000
2525,7998,90737000
1014,4950,84423000
5792,2276,63834000
7472,9841,85895000
839,7449,97729000
6543,5338,83957000
570,8059,76656000
5960,9191,74429000
1583,4848,79461000
7059,4969,96233000
617,617,87322000
1145,9266,89908000
8042,1362,84746000
4372,7668,68249000
3645,7215,69183000
811,7407,90557000
4446,6321,76789000
8845,609,70787000
338,5205,80188000
1818,4995,68391000
7981,9718,90641000
4050,1595,62686000
2224,3293,62432000
3712,8169,63936000
4112,4200,74336000
6380,5066,77439000
6889,7729,66404000
7144,9292,73327000
6085,2598,62215000
748,9648,98037000
2806,480,85799000
2875,8792,73998000
3936,9446,87127000
9224,675,72134000
5399,9553,90209000
5494,741,81840000
3906,7393,76306000
4028,1145,82410000
9633,9561,82735000
2188,2643,64352000
6874,2094,84624000
8749,5478,66021000
7497,3738,70512000
2861,5601,79568000
1570,7690,75588000
9175,9396,86953000
4582,5907,85748000
8652,4120,80933000
203,8047,72825000
7012,2186,79787000
8894,6541,63576000
4152,633,61464000
2100,1241,70828000
3443,5019,73981000
7299,539,55880000
1144,5883,68574000
9032,2457,65009000
3517,3638,68435000
277,9564,58151000
1014,4950,79925000
6836,213,72900000
681,2879,82352000
3236,9347,78919000
3154,8666,55858000
6778,105,62032000
1453,8664,72574000
4765,7073,56160000
8270,8003,72209000
6317,6394,73179000
3236,9347,76835000
1336,5163,79127000
1993,773,61015000
4096,9775,65273000
6027,4599,67168000
7519,5562,66802000
9005,7388,59709000
5483,7838,70908000
3898,5362,85990000
2832,8776,63265000
2528,2322,49047000
3240,4476,54432000
9676,431,68319000
672,8531,84496000
4355,2836,70251000
4215,7084,64724000
3608,2665,92079000
4090,7550,53227000
4380,2248,60598000
3368,5123,58773000
1403,9284,77353000
61,4426,68059000
9488,7927,72138000
7082,6112,76050000
8030,71,70102000
7287,5327,81519000
2485,7219,69099000
7144,9292,62035000
8630,2090,67808000
8,7748,76915000
2996,1714,63362000
7080,7759,57736000
6746,9600,70878000
5547,997,85694000
4463,1553,76101000
652,2892,65486000
6344,1954,74237000
9317,6021,95736000
1322,6657,82512000
2209,9625,79767000
3266,9301,63415000
4616,4061,62184000
7125,2719,89277000
9288,6736,75141000
4269,4269,85493000
8429,9335,74495000
3586,5194,71265000
344,7951,67064000
4574,6904,83076000
6367,353,64190000
6742,6330,75996000
4946,2521,122394000
7344,336,79009000
5178,6652,73985000
6312,2527,85520000
3585,8448,87213000
6185,7770,88929000
1770,8299,77944000
9529,7071,73573000
7097,7065,68708000
905,1369,78216000
4629,1049,74345000
6459,2606,94721000
2176,4335,79681000
9722,4537,78556000
8106,5947,77179000
4224,6593,88910000
2944,9914,76558000
9480,7448,63838000
4854,9691,66822000
4507,3949,90031000
5105,7433,69138000
646,1502,84491000
3210,9308,53452000
8629,9515,90219000
6898,8665,78265000
4526,3830,74054000
9896,9087,83181000
2735,8194,74515000
5834,9351,63968000
8863,4886,63967000
2784,1223,71912000
2606,542,75373000
5870,3913,57722000
1170,6202,64814000
8273,6745,80776000
3628,2536,69660000
9209,5050,71080000
6701,8427,74474000
2634,8165,80516000
2175,4425,70795000
4493,6400,88025000
1437,264,80685000
4802,1868,81764000
3725,9617,64347000
7964,462,90393000
3626,3645,90557000
1229,6294,61351000
594,6685,85222000
393,1074,67984000
5123,652,66365000
7062,3931,70203000
7450,9072,70544000
6020,5814,63369000
3629,5057,73591000
585,4894,66186000
6601,7379,99045000
5067,3191,80773000
8016,62,56203000
7985,3587,76470000
1521,196,69418000
7732,7611,69678000
6576,5980,83768000
5850,3256,79250000
2538,81,59142000
6958,8709,67077000
897,2091,79886000
8716,7430,71301000
2900,2157,80570000
663,5545,68236000
27,4189,83381000
8314,4992,82435000
7577,5270,67646000
2390,3748,70446000
7276,2038,89502000
2341,4987,90014000
9352,2535,75383000
8042,1362,86501000
2746,6263,70674000
2243,7558,73438000
1300,14,73769000
3102,2262,90949000
8911,6556,91263000
8615,8218,82499000
459,2210,77614000
3706,3041,73618000
1088,5167,67473000
5692,584,71523000
2428,3633,81140000
948,9722,70369000
6788,9537,92815000
620,3036,81680000
5196,6432,65410000
1509,4583,76140000
2925,8359,73803000
2929,6060,65910000
3326,3059,60660000
5769,310,66160000
208,6538,58874000
6314,1160,62671000
5860,8743,69931000
3597,1831,75350000
3399,4841,75309000
7250,9069,59757000
8988,6352,70500000
9818,9629,69727000
4933,4520,65248000
8739,6495,70563000
2206,7905,80404000
1515,3533,69703000
1464,7077,59942000
7229,8711,70955000
9718,1288,62138000
5896,5115,61252000
2732,6677,64840000
9062,157,77728000
3480,6313,72685000
8773,7251,76531000
9098,9278,59526000
5357,7932,49124000
3955,119,85157000
6970,1125,70736000
4925,6327,49588000
6469,4019,60458000
9183,8234,75365000
9400,7279,64900000
4489,3219,60128000
9694,3498,91408000
8551,2830,64828000
247,1355,49142000
6030,8811,60461000
7446,2338,80007000
4810,6874,70477000
1611,1523,75390000
468,7163,70735000
5930,234,61069000
1082,7292,61046000
7447,8267,55447000
7248,1243,72987000
7354,943,85638000
1506,4443,59301000
3221,2944,65093000
4610,9099,80571000
758,846,64423000
9120,3558,71056000
8683,130,65998000
7249,1531,69629000
1381,1445,76240000
5216,7394,67308000
9385,2468,71411000
7261,8982,65895000
8334,1273,67668000
212,4101,59399000
8055,864,55791000
649,5280,64148000
6193,2893,80265000
3092,7671,65206000
7919,4330,72498000
2817,670,75545000
1155,3884,60342000
5469,6943,54797000
5156,599,81015000
7126,3561,80334000
1639,3127,78303000
4134,2757,65555000
3731,1815,68361000
7368,6411,75776000
8440,9701,87039000
1937,5873,65281000
6763,6675,75811000
2889,7152,70951000
9184,9411,61323000
9287,3540,75338000
6530,9698,60230000
9332,7503,59973000
2097,8674,71604000
1364,2128,79738000
3278,8405,88549000
3432,153,69605000
313,9096,79164000
181,3743,106789000
6355,1003,62906000
5875,3328,71431000
57,5516,92951000
2145,9538,79859000
5119,9140,88888000
2859,6421,66446000
4572,2271,85811000
10,7252,70668000
7926,1500,77909000
1065,1874,78252000
3547,2455,73040000
4316,1915,101500000
8188,3214,74154000
6791,6500,63947000
1857,4210,80839000
4015,1290,78600000
5838,2937,72240000
1277,2797,82265000
9102,5157,76357000
2948,5267,92734000
8261,2409,61103000
3026,1016,70226000
5501,724,69186000
6719,1864,66140000
6160,2062,83162000
836,5764,93616000
6925,8662,60251000
1803,6777,67543000
5098,5068,81320000
9239,6359,95033000
5183,2007,70934000
3774,7085,59882000
5982,6100,73061000
4642,6169,64890000
5911,8348,67476000
4951,6684,54991000
5498,3591,60516000
5758,2945,61754000
7555,8601,66289000
8528,4183,71193000
3042,3527,55817000
3144,8840,78786000
6918,6012,54316000
2909,3879,69817000
2944,9914,69663000
1957,5253,54505000
4677,2063,73534000
5668,8021,76904000
4403,4297,75319000
8739,6495,71564000
7920,3181,77677000
8116,2123,55904000
8312,6153,62656000
4594,5855,70005000
5346,7889,86292000
1287,21,73315000
7069,5246,59534000
2129,8335,66229000
3639,8763,60906000
4098,442,56566000
1764,318,69403000
4655,8341,86956000
3772,5885,56869000
7796,5856,62124000
1188,2188,65836000
911,2066,77777000
4892,4141,72450000
1514,3269,83199000
916,9773,69444000
7970,3282,103792000
1264,6446,95119000
1021,2406,84199000
9818,9629,85549000
9198,9297,74933000
350,4239,77550000
2155,9144,90243000
2779,2114,80344000
2285,7784,59993000
9328,4446,76993000
6490,5048,93631000
9665,5009,75185000
8669,3334,66563000
2536,8769,98194000
775,1939,101604000
8352,6864,95929000
8032,4998,100686000
7342,1497,90244000
6678,5318,64587000
870,8492,86094000
1027,2897,70356000
9057,8766,67686000
4305,1608,71164000
7873,8326,84573000
5855,2169,72029000
1413,9730,71614000
9268,4071,75396000
3677,8831,77852000
8530,2722,67360000
7215,1899,84368000
1631,1816,76602000
2383,903,87894000
552,7026,95698000
807,580,77450000
2860,7921,72186000
2587,1541,83640000
1710,2971,61650000
5629,1596,81096000
9435,8945,74080000
8758,2768,58515000
1620,3648,70167000
7378,8336,80499000
4911,6851,84760000
5826,7948,68849000
7295,6242,94111000
6079,9010,88780000
9755,1679,99341000
1306,3658,83273000
8017,271,86812000
2009,1112,79048000
3439,3301,89651000
3214,40,83021000
6202,588,73409000
5702,9189,79211000
298,1945,81513000
4746,6203,86085000
3353,4589,73076000
9630,4965,65847000
841,862,62162000
2607,1560,61163000
4243,7517,79201000
1761,1278,81746000
7533,2860,67812000
1473,27,72901000
3641,9631,83702000
6842,7594,68094000
8256,7307,92356000
5633,6989,77471000
9102,5157,70235000
5999,274,84179000
384,6120,85969000
4636,7726,82824000
2241,5700,103299000
3861,5289,80795000
3227,8557,74135000
2990,3283,71154000
1871,6939,69915000
3545,2034,101298000
6937,1391,72290000
2022,6482,76384000
5881,8694,73679000
8084,6937,94703000
4222,9681,71812000
4673,6805,74736000
8427,9417,76100000
1609,4546,80168000
5205,3733,71605000
9650,9667,86172000
3946,1457,88156000
3477,5803,93245000
2494,6253,91929000
2995,4761,80290000
5680,4874,64092000
6653,6486,52042000
5300,5300,56679000
5055,5173,84559000
3648,4918,66498000
6445,5796,63400000
782,4941,77628000
3879,8632,94622000
1384,7296,73261000
1923,1537,78645000
9842,263,73911000
2729,8673,74612000
3216,7583,88927000
5044,1455,80091000
7369,5000,76096000
2413,590,81548000
3281,276,78618000
4376,6628,62432000
9732,1272,87734000
3215,6150,65220000
880,4176,76762000
9659,3335,77005000
915,6081,73106000
2975,4742,79389000
1004,9138,84141000
2075,6625,69648000
9606,1305,100916000
44,8830,78545000
8399,3867,80724000
4593,2057,82889000
7578,9401,87903000
4017,8549,80179000
4766,3047,76571000
6157,3026,88754000
8002,6474,74259000
4192,2548,84516000
2637,9048,77799000
4008,4363,89323000
126,2948,75135000
2026,9571,86638000
9264,122,72755000
812,7214,91570000
7544,5939,77857000
7260,7452,78910000
4505,5699,92555000
6332,18,99847000
6138,5353,74101000
1349,2720,73847000
1314,2713,87159000
6987,4700,81252000
6263,3813,80997000
4021,7860,84218000
4776,8041,62219000
1349,2720,75496000
5700,6509,71567000
1153,9474,81703000
8199,4928,64220000
1299,3909,77529000
6479,6756,81883000
6356,2503,73825000
631,3614,70346000
713,9041,81069000
2893,3671,81312000
9763,2502,74073000
5841,8271,65796000
1370,7752,88716000
7199,7301,82318000
127,5778,79969000
8745,2636,71162000
9618,8844,72277000
399,2360,85048000
9240,340,94874000
7085,4356,68606000
23,2124,75978000
8549,4017,60379000
491,3389,56383000
3942,6755,68495000
3621,1951,92239000
9541,714,68392000
5894,9128,70047000
9215,8730,78046000
3621,1951,93256000
3438,6475,71536000
2919,9599,65286000
134,2190,87091000
1019,8949,74792000
4940,5427,79854000
3459,5382,59597000
8799,9551,68189000
4177,3971,78444000
1681,4376,74412000
3058,6577,77843000
684,2141,76226000
2537,405,68810000
3261,9353,73655000
7985,3587,61721000
485,1164,65746000
465,6659,78682000
4263,9790,84648000
3432,153,62848000
4622,8128,72004000
4911,6851,72303000
3308,1335,58352000
5846,3125,77872000
2857,1167,70580000
6680,1512,74569000
6600,2804,55199000
153,8379,74632000
1734,4082,60088000
8782,7691,80257000
9000,9771,87930000
5898,9751,88216000
269,5454,67474000
1742,6217,80531000
3121,9812,64999000
925,2938,76887000
4871,5943,63997000
7436,9165,54323000
4741,5343,57477000
3792,9211,58069000
467,5793,88332000
3397,260,54132000
775,1939,104692000
4292,7717,68867000
7184,2031,70008000
1986,9428,82498000
4596,735,77804000
8962,3812,81254000
2309,2961,68071000
28,3253,72004000
93,5829,75574000
2729,8673,70650000
8395,288,87733000
8674,1515,69055000
1866,9884,66095000
1421,6964,75020000
2996,1714,58461000
1540,2530,58728000
4078,9885,60332000
9766,9314,67871000
9499,3875,64974000
8431,5735,57752000
6352,1228,67740000
9108,5843,75840000
2949,5349,88308000
4383,9533,73091000
9295,6969,83206000
5581,1192,71066000
9838,1612,68361000
7062,3931,67504000
5159,4392,82577000
3014,5631,82425000
4785,9420,90351000
7792,6025,106061000
401,4211,85884000
4478,6095,88799000
8997,4893,75558000
1652,238,87636000
6626,2480,85339000
1980,4184,92565000
2078,8693,88659000
737,3187,80943000
5176,132,94721000
1251,6522,68886000
1839,688,67665000
1362,476,62662000
9437,7327,73684000
1593,9760,80928000
5991,6218,80267000
5057,3338,77210000
6983,5625,70156000
4977,1801,80196000
6970,1125,81478000
500,7486,87029000
1433,4775,103705000
2834,7689,94292000
6309,2707,78249000
3114,4439,86338000
630,4631,64985000
7503,6907,100810000
3178,9031,79102000
1067,6305,93557000
1227,4054,92708000
2891,7714,92255000
4937,217,73318000
4222,9681,70891000
1642,9598,65332000
9527,1772,72803000
3087,6193,71134000
4022,457,78014000
13,8867,70754000
3189,3985,71468000
4054,2391,69753000
1206,649,83692000
1077,5506,75380000
6380,5066,74029000
4097,863,86759000
5611,7743,76895000
3042,3527,60897000
4680,2867,84463000
4339,9485,84331000
549,5673,72063000
9841,7472,69528000
5778,9827,74755000
7625,6373,69724000
9970,6861,77666000
3570,2864,67672000
7923,8732,65119000
5413,9945,81558000
7756,9709,78830000
5968,2697,79327000
4106,1466,60859000
10,7252,63035000
6805,3800,76491000
555,7936,73521000
8751,4294,84524000
2727,6919,98135000
3917,6167,89789000
2155,9144,93342000
1695,6227,79784000
3465,3377,75068000
8274,523,68851000
8412,6481,81855000
9171,7757,78111000
6739,2444,71705000
4125,5607,78804000
403,3024,77285000
3495,5573,85354000
260,6986,80266000
4904,2158,68972000
7861,7363,74741000
1781,1102,91217000
7886,5373,63188000
3556,2763,77282000
9917,7265,83845000
4501,2342,71461000
581,5334,88524000
8382,5445,81566000
5083,2730,77447000
7304,8380,89371000
3533,5589,90807000
4462,2522,76218000
8089,3424,85730000
9061,13,84727000
3895,4576,67944000
2293,1614,74355000
4630,367,68702000
5520,8443,70755000
3838,4395,77505000
1314,2713,83628000
315,9560,85616000
9509,9938,81264000
4167,2725,66190000
3655,6113,92794000
9060,4088,65533000
7247,2082,78138000
2258,2346,91995000
531,8749,93945000
193,6789,92233000
